please,guaranteed,purchase,interested,store,account,customer,bank,sms,club,message,call,nationwide,cost,card,mail,apple,charges,update,today,Number of words,Number of Upper Case Words,Conatins Special Character,Noun,Pronoun,Adjective,Verb,Adverb,Preposition,Conjunction,Size,Number of Digits,Number of Alphabets,Number of Space,Number of Upper case letters,Number of Mathematical symbols,Number of punctuation symbols,Misspelled score,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,SMOGIndex,Phone Number,Email Id,URL present,Self Answering Type msg,Emotions present,Greeting tokens present,Contains visual morphemes,age_of_domain,is_atrate_present,is_hypen_present,number_of_dots,length_of_url,special_symbols_count_in_url,ssl_certifiacte_type,source_code_form_domain_match,apk_download_detection,Label
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0,1,6,0,3,0,1,1,0,102,12,68,12,2,0,8,38.46,4.541111111,8.503333333,8.688129333,94.565,9.422222222,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,27,1,1,7,1,3,1,0,2,0,151,13,101,26,5,0,8,14.81,8.303333333,11.468,5.556387133,88.965,14.66666667,10.74596669,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,0,1,10,0,2,0,0,2,0,155,13,110,22,3,0,5,34.78,9.96137931,13.04689655,8.117623345,75.29655172,15.73793103,12.48683298,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,3,0,8,0,5,2,0,1,0,202,7,153,28,25,4,9,44.83,10.64,17.43756757,8.825922486,84.68,18.04324324,12.48683298,0,1,0,0,0,1,0,24,1,1,10,58,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,1,5,1,1,1,1,2,0,113,10,80,15,2,1,5,25,7.163333333,11.12,11.95471322,75.765,13.86666667,12.48683298,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,1,1,5,1,2,1,3,2,0,135,11,97,20,2,0,4,23.81,8.52,11.765,9.425722167,76.725,12.93333333,10.74596669,1,1,1,0,0,0,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,0,1,11,0,2,0,2,2,0,139,12,94,20,3,1,9,42.86,9.284347826,11.77695652,10.01123626,69.46391304,14.4173913,12.48683298,1,1,1,0,0,1,1,1239,0,0,5,20,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,38,1,1,18,0,4,0,4,1,0,187,13,127,37,5,0,6,21.05,10.925,15.055,4.0389925,87.98,18,10.74596669,1,1,1,0,0,0,1,5538,0,0,3,23,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,2,1,5,3,0,1,0,3,0,136,10,99,19,5,0,5,25,6.206086957,12.39130435,10.77817335,91.53347826,10.93913043,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,3,1,8,5,3,2,3,1,0,217,10,158,36,9,0,10,18.92,13.43285714,18.41,7.014140952,73.56214286,17.75238095,8.477225575,1,1,1,0,0,1,1,2388,0,0,4,26,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,1,5,0,3,0,3,1,0,128,11,97,14,2,0,5,26.67,10.45157895,14.84263158,16.06428168,53.97105263,16.02105263,13.95445115,1,1,1,0,0,1,1,3034,0,0,5,22,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,42,0,1,10,5,2,3,1,2,0,229,10,164,41,7,0,12,11.9,14.35209302,19.12906977,7.304005163,68.7527907,19.06046512,10.74596669,1,1,1,0,0,0,1,3685,0,0,4,33,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,23,2,1,6,4,2,2,2,2,0,146,10,102,22,3,1,10,21.74,7.158064516,11.08677419,4.488100258,98.95709677,13.69032258,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,22,1,1,1,2,3,3,1,2,0,143,11,100,21,6,0,9,36.36,7.848,11.9824,9.12224324,83.324,11.6,8.477225575,1,1,1,0,0,1,1,7921,0,0,3,30,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,36,0,1,5,3,5,3,4,5,1,212,10,157,35,2,0,9,13.89,13.2544186,18.36232558,6.346820116,76.62255814,19.06046512,10.74596669,1,1,1,0,0,1,1,6688,0,0,5,33,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,51,0,1,9,5,4,2,6,5,4,265,12,189,50,6,1,10,9.8,18.14407407,23.10166667,5.537395463,61.15833333,23.08148148,10.74596669,1,1,1,0,0,1,1,9687,0,0,3,31,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1,1,5,2,2,1,1,2,0,123,10,90,15,2,0,5,31.25,8.14,12.12,12.119087,72.325,16,13.95445115,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26,0,1,8,1,0,0,2,5,0,157,13,113,25,3,0,4,15.38,11.18206897,13.53413793,8.725883793,66.54482759,15.73793103,12.48683298,1,1,1,0,0,1,1,1690,0,0,4,23,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,4,0,6,2,1,4,1,3,1,206,3,163,32,12,1,5,15.15,12.23459459,18.20135135,9.779411838,73.24756757,15.88108108,8.477225575,0,1,0,0,0,1,0,10,1,1,5,75,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,37,1,1,12,0,0,1,3,4,1,200,12,139,36,5,0,10,24.32,12.77560976,16.41658537,5.132616024,76.49317073,16.4,3,1,1,1,0,0,1,1,9698,0,0,5,25,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,1,1,9,2,0,2,0,1,0,126,15,84,18,3,0,7,31.58,5.18,10.34347826,8.221716391,98.89,10.93913043,8.477225575,1,1,1,0,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,2,1,8,1,1,0,0,2,0,116,10,82,17,3,0,4,33.33,5.326363636,9.266363636,7.442787455,96.05954545,10.61818182,8.477225575,1,1,1,0,0,1,1,2621,0,0,3,31,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,1,1,2,0,4,0,0,1,0,103,11,70,12,3,0,9,46.15,7.6125,10.414375,12.11673669,68.9825,11.4,10.74596669,1,1,1,0,0,1,1,8180,0,0,5,22,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,38,1,1,6,4,2,7,4,3,2,218,10,160,37,6,0,10,15.79,16.58818182,18.76772727,6.244363955,54.50227273,21.23636364,13.95445115,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,1,1,3,1,4,3,2,2,0,151,10,109,24,5,0,7,24,9.554482759,12.39724138,7.306609414,78.2137931,12.97931034,8.477225575,1,1,1,1,0,1,1,5648,0,0,5,29,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,44,5,1,5,10,2,5,0,3,1,231,10,158,43,11,0,19,9.09,13.90636364,18.55363636,5.977098,73.72954545,18.50909091,8.477225575,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,1,0,9,2,4,1,1,3,0,193,2,151,31,7,2,5,21.88,14.67588235,16.90352941,9.961248176,50.40147059,21.83529412,17.49137675,0,1,0,0,0,1,0,9,1,1,5,27,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,4,1,4,0,2,0,0,1,0,86,10,60,11,16,0,4,25,2.06,8.05,9.666015333,107.01,11.33333333,10.74596669,1,1,1,1,0,1,1,9201,0,0,5,27,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,2,1,4,3,1,1,1,2,0,126,10,89,18,4,0,8,21.05,7.471818182,10.765,9.313649136,80.67772727,14.25454545,12.48683298,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,0,1,5,0,1,0,0,2,0,93,10,68,9,2,0,5,30,7.566666667,10.562,12.80193587,67.53,8.666666667,8.477225575,1,1,1,1,0,1,1,9567,0,0,4,35,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,0,1,8,1,2,1,1,2,0,111,10,80,15,2,0,5,37.5,8.73,9.765,9.1791615,68.095,14,12.48683298,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,0,1,4,0,1,0,1,2,0,108,12,79,11,2,0,5,25,12.28666667,14.644,17.89780673,33.69,16.66666667,13.95445115,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,1,1,5,2,0,2,3,3,0,139,12,100,20,3,0,6,23.81,9.526923077,11.85923077,8.389812615,73.06807692,15.01538462,12.48683298,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,38,5,1,6,4,4,3,4,2,0,223,10,164,37,8,0,11,7.89,15.07111111,19.282,6.277124756,67.16,19.77777778,10.74596669,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,20,0,1,5,4,1,2,0,3,0,129,12,92,19,3,0,5,25,6.719130435,11.3673913,9.49994487,87.85521739,10.93913043,8.477225575,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,29,1,1,6,1,6,0,2,4,1,170,10,127,28,2,0,4,10.34,10.20322581,14.88516129,9.229915581,77.12483871,14.98064516,10.74596669,1,1,1,1,0,1,1,1716,0,0,3,27,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,26,1,1,14,1,1,0,0,2,2,162,10,121,25,2,0,5,19.23,10.96451613,13.97354839,8.091879903,71.66677419,14.98064516,10.74596669,1,1,1,1,0,1,1,8679,0,0,3,29,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,61,6,1,7,10,5,3,7,6,2,341,12,251,60,8,0,17,13.11,25.17217391,31.0226087,6.182000826,37.48695652,30.49855072,15.24744871,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,30,2,0,7,0,3,0,0,1,3,215,0,176,29,22,2,7,20,13.63470588,20.22823529,14.11173124,57.86617647,18.30588235,13.95445115,0,1,0,0,0,1,0,75,1,1,6,57,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,19,0,1,2,1,1,4,1,1,0,133,10,98,18,5,0,5,26.32,10.69,12.69181818,11.71904273,57.605,14.25454545,12.48683298,1,1,1,1,0,1,1,9732,0,0,3,35,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,3,0,10,1,3,0,1,2,0,210,13,152,31,13,0,13,34.38,14.18333333,18.1575,10.32664419,57.495,17.73333333,12.48683298,0,1,0,0,0,1,0,40,1,1,9,32,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,13,1,1,3,1,2,1,1,2,0,99,10,70,12,3,0,6,30.77,6.310588235,9.234705882,10.12865482,80.09764706,9.152941176,8.477225575,1,1,1,1,0,1,1,4812,0,0,5,29,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,11,0,1,3,1,0,1,1,1,0,97,12,71,10,2,0,3,36.36,7.57,13.49357143,16.9449355,65.725,11.31428571,10.74596669,1,1,1,1,0,1,1,8264,0,0,4,34,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,0,1,5,0,1,2,0,3,1,115,10,84,13,2,0,7,42.86,9.830526316,11.37210526,11.73175989,58.42368421,11.81052632,10.74596669,1,1,1,1,0,1,1,5219,0,0,5,30,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30,1,1,8,3,1,4,2,3,0,177,10,129,29,4,0,8,10,11.20857143,14.77542857,6.7052534,77.04142857,15.14285714,8.477225575,1,1,1,1,0,1,0,4634,0,0,4,26,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,17,0,1,9,0,1,0,1,1,0,124,10,91,16,3,0,6,23.53,10.01904762,11.72285714,11.06956129,60.63428571,14.11428571,12.48683298,1,1,1,1,0,1,1,6360,0,0,5,31,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,1,1,13,0,0,0,0,2,0,98,12,62,20,4,0,3,14.29,2.62,5.0925,1.09593325,119.025,11.26666667,8.477225575,1,1,1,1,0,1,1,9153,0,0,3,27,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,18,1,1,3,2,2,0,2,3,0,114,10,81,17,3,0,5,22.22,8.333333333,9.48,8.269632238,72.72,14.11428571,12.48683298,1,1,1,1,0,1,1,1229,0,0,3,25,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30,0,1,12,2,4,1,2,3,0,165,10,120,29,3,0,5,23.33,10.15272727,13.62454545,6.465661152,81.04909091,15.62424242,10.74596669,1,1,1,1,0,1,1,5874,0,0,5,26,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,32,1,0,5,3,4,1,0,5,2,194,4,149,31,7,2,6,18.75,14.18333333,16.84916667,8.69335225,57.495,16.62222222,10.74596669,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,29,0,1,5,2,5,5,0,2,1,184,10,133,28,3,0,12,31.03,12.29818182,15.48,8.781966091,65.66727273,18.04848485,13.95445115,1,1,1,1,0,1,1,8168,0,0,4,22,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,1,0,4,0,4,0,0,1,0,153,4,120,18,8,1,8,57.89,13.90818182,16.11727273,15.995298,34.53227273,14.25454545,12.48683298,0,1,0,0,0,1,0,54,1,1,10,70,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,23,0,0,6,2,3,0,0,4,0,380,85,250,22,6,1,21,34.78,19.28666667,38.52769231,33.94696023,26.25,22.77948718,17.49137675,0,1,0,0,0,1,0,35,1,1,10,56,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,1,1,7,1,2,1,0,2,0,106,12,74,15,2,0,4,18.75,5.483157895,9.388947368,9.256033158,89.59210526,9.705263158,8.477225575,1,1,1,1,0,1,1,6998,0,0,5,32,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,15,0,1,3,0,1,2,2,1,0,117,10,79,14,4,0,13,33.33,6.104210526,10.13263158,10.18443068,85.13947368,7.6,3,1,1,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,13,0,1,5,1,1,0,0,1,0,105,10,77,12,2,0,5,23.08,7.004705882,11.17411765,12.54976994,75.12117647,9.152941176,8.477225575,1,1,1,1,0,1,1,1647,0,0,5,27,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,10,1,2,0,0,0,0,0,0,69,10,45,11,33,0,3,16.67,-7.601428571,4.073571429,5.1852335,174.4964286,5.6,3,1,0,1,1,0,1,1,958,0,0,5,25,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,1,2,2,1,1,0,0,0,84,10,56,10,1,0,7,27.27,3.1875,5.99875,6.604376375,100.7075,11.4,10.74596669,1,0,1,1,0,1,1,9255,0,0,4,32,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,1,2,1,1,1,1,0,0,60,10,37,8,1,0,5,33.33,-1.645454545,4.194545455,6.632443,126.4518182,8.036363636,8.477225575,1,0,1,1,0,0,1,2784,0,0,5,28,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,1,1,2,3,2,0,1,0,0,71,10,46,11,1,0,4,16.67,-0.015714286,4.41,5.605222857,120.1107143,5.6,3,1,0,1,1,0,1,1,9937,0,0,4,24,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,0,1,5,1,1,2,0,1,2,131,10,97,21,2,0,3,22.73,9.797391304,11.98173913,10.26688196,65.78565217,14.4173913,12.48683298,1,0,1,1,0,1,1,5530,0,0,4,20,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,1,1,2,2,3,0,2,0,1,98,10,70,14,1,0,3,20,9.0875,10.12,11.749246,58.4075,11.4,10.74596669,1,0,1,1,0,1,1,2725,0,0,5,20,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,1,3,0,1,1,1,1,1,66,10,45,10,1,0,1,9.09,3.84,6.1575,8.682906417,88.905,8.133333333,8.477225575,1,0,1,1,0,1,1,5972,0,0,3,34,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,1,10,0,2,1,5,1,0,121,10,79,27,4,0,5,3.57,4.763333333,7.543,0.6565113,114.345,12,3,1,0,1,1,0,1,1,3361,0,0,4,35,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,1,1,1,1,0,0,50,10,31,6,2,0,3,14.29,1.031111111,4.526666667,7.697708333,103.7,8.044444444,8.477225575,1,0,1,1,0,1,1,9348,0,0,5,21,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,1,1,0,2,0,1,3,0,0,59,10,36,10,2,0,3,9.09,-1.076666667,2.625,4.273018167,124.155,4.8,3,1,0,1,1,0,1,1,7972,0,0,5,25,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,1,8,0,0,0,0,1,0,57,10,34,12,1,0,1,15.38,-1.701428571,0.372857143,0.565350571,132.1964286,5.6,3,1,0,1,1,0,1,1,3940,0,0,3,29,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17,0,1,5,1,1,2,1,3,0,86,10,59,16,1,0,1,17.65,1.918888889,5.625,5.094887056,113.365,7.2,3,1,0,1,1,0,1,1,3986,0,0,3,23,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,4,0,1,0,0,1,0,48,10,29,7,1,0,2,12.5,-0.28,3.48,6.391074778,113.1,3.6,3,1,0,1,1,0,1,1,4414,0,0,5,24,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,1,4,3,1,1,2,1,0,81,13,49,13,2,0,6,14.29,-0.5,4.82125,5.134413625,127.145,6.4,3,1,0,1,1,0,0,1,8469,0,0,5,28,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,3,1,5,3,2,1,2,2,2,156,13,108,30,4,0,5,6.45,9.795151515,12.34,4.862065424,83.61272727,14.41212121,8.477225575,1,0,1,1,0,1,1,4128,0,0,5,33,1,2,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34,3,1,4,4,3,2,4,3,1,166,10,119,33,5,0,4,2.94,10.53428571,13.42971429,5.025295971,81.87571429,15.14285714,8.477225575,1,0,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,1,0,2,1,1,4,0,0,67,10,44,12,1,0,1,7.69,0.827142857,3.737142857,4.765244143,114.0678571,5.6,3,1,0,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,5,0,4,1,1,0,0,50,0,37,8,1,0,5,44.44,1.29,0.997,2.9959167,103.625,4,3,1,0,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,5,1,1,1,0,0,0,63,0,50,9,2,0,2,20,1.873333333,4.195,6.2329685,103.005,8.133333333,8.477225575,1,0,1,1,0,1,1,0,0,0,0,0,1,-1,1,1,1
